factor,value,games,hit_rate_%,vs_overall_pp
multiplayer,No,1852,8.585313174946005,-0.3346868250539945
multiplayer,Yes,648,9.876543209876543,0.9565432098765427
thai_language,No,2245,8.151447661469934,-0.7685523385300659
thai_language,Unknown,14,0.0,-8.92
thai_language,Yes,241,16.59751037344398,7.677510373443981
early_access,No,2166,9.787626962142197,0.8676269621421966
early_access,Yes,334,3.293413173652695,-5.626586826347305
steam_deck,Playable,1000,8.4,-0.5199999999999996
steam_deck,Unknown,20,0.0,-8.92
steam_deck,Unsupported,613,7.830342577487764,-1.0896574225122357
steam_deck,Verified,867,10.4959630911188,1.5759630911187994
is_free,Free,225,8.444444444444445,-0.4755555555555553
is_free,Paid,2275,8.967032967032967,0.04703296703296722
developer_tier,AA,408,20.098039215686274,11.178039215686274
developer_tier,AAA,115,26.08695652173913,17.16695652173913
developer_tier,Indie,1977,5.614567526555387,-3.305432473444613
