enroll_id,enroll_date,course_category,course_name,learning_mode,customer_type,seats,price_per_seat,total_amount,lead_source,satisfaction,completed
ENR01009,2025-01-28,SQL,SQL Fundamentals,Onsite,บุคคลทั่วไป,1,4900,4900,เพื่อนแนะนำ,3.9,สำเร็จ
ENR01078,2024-02-14,Python,Python for Beginner,Onsite,บุคคลทั่วไป,1,5900,5900,LINE OA,4.7,สำเร็จ
ENR00959,2025-03-15,Excel,Excel Dashboard,Online Live,องค์กร,5,4900,22050,LINE OA,4.4,สำเร็จ
ENR00808,2024-07-14,Power BI,DAX Formula,Online Live,บุคคลทั่วไป,3,5900,17700,Google Search,4.5,สำเร็จ
ENR01032,2024-06-19,Power BI,DAX Formula,Onsite,บุคคลทั่วไป,2,5900,11800,Facebook,5.0,สำเร็จ
ENR01201,2024-01-21,Python,Python Data Analysis,Onsite,บุคคลทั่วไป,1,6900,6900,LINE OA,4.5,สำเร็จ
ENR00478,2025-09-20,Python,Machine Learning,Onsite,บุคคลทั่วไป,1,8900,8900,LINE OA,4.1,สำเร็จ
ENR00661,2025-06-21,Office,Word Professional,Onsite,บุคคลทั่วไป,2,2900,5800,เพื่อนแนะนำ,4.7,สำเร็จ
ENR01422,2025-08-24,Excel,Excel Basic,E-Learning,องค์กร,1,2800,2800,องค์กรส่งมา,4.0,ไม่สำเร็จ
ENR01080,2024-09-28,Excel,Excel Dashboard,Online Live,บุคคลทั่วไป,1,4900,4900,Facebook,4.6,สำเร็จ
ENR00471,2025-06-23,AI Tools,ChatGPT for Work,Onsite,บุคคลทั่วไป,2,3900,7800,เพื่อนแนะนำ,4.2,สำเร็จ
ENR00628,2025-09-11,Python,Machine Learning,Online Live,บุคคลทั่วไป,1,8900,8900,Google Search,4.0,สำเร็จ
ENR01458,2024-08-01,Python,Machine Learning,Online Live,บุคคลทั่วไป,1,8900,8900,Google Search,5,สำเร็จ
ENR00873,2025-01-20,Excel,Excel Basic,Online Live,บุคคลทั่วไป,3,3500,10500,Google Search,4.3,สำเร็จ
ENR00245,2025-01-20,AI Tools,ChatGPT for Work,E-Learning,องค์กร,1,3120,3120,องค์กรส่งมา,4.5,สำเร็จ
