app_id,name,release_date,primary_genre,developer_tier,price_usd,price_range,is_free,early_access,multiplayer,thai_language,steam_deck,owners_estimate,positive_reviews,negative_reviews,review_pct,avg_playtime_hours,peak_ccu,estimated_revenue_usd,success
166045,Neon Empire Deluxe,2022-01-22,Adventure,Indie,4.99,< $5,Paid,No,No,No,Verified,3100,60,25,71.7,15.0,11,5599,Not hit
170596,Solar Frontier: Origins II,2017-08-01,Action,AA,0.0,Free,Free,No,No,Yes,Unsupported,41773400,684407,183030,78.9,10.6,65132,31055226,Not hit
187394,Broken Dungeon Deluxe,2025-01-28,Horror,Indie,4.99,< $5,Paid,Yes,No,No,Playable,23900,705,132,84.3,32.9,80,48577,Not hit
185840,Shadow Dungeon Remastered Remastered,2018-10-28,Simulation,Indie,0.0,Free,Free,No,No,No,Verified,33100,929,334,73.6,31.1,42,53354,Not hit
112839,Broken Frontier Deluxe,2022-09-21,RPG,Indie,0.0,Free,Free,No,Yes,No,Unsupported,65500,1063,504,67.9,48.6,162,85484,Not hit
173408,Iron Chronicles Deluxe,2024-08-14,Adventure,Indie,4.99,< $5,Paid,Yes,No,No,Verified,400,11,3,84.5,3.5,0,859,Not hit
124013,Rogue Colony II 2,2023-03-26,Puzzle,Indie,9.99,$5-10,Paid,No,No,No,Verified,11200,167,80,67.9,3.8,38,46873,Not hit
134780,Hidden Factory II,2023-09-26,Action,Indie,14.99,$10-20,Paid,No,No,No,Playable,10600,318,101,75.9,7.0,32,56433,Not hit
162752,Rogue Tactics Deluxe,2023-03-01,Casual,Indie,24.99,$20-40,Paid,No,No,Yes,Unsupported,2700,38,24,62.7,3.1,3,27948,Not hit
170411,Tiny Survivors Deluxe,2022-09-30,Action,Indie,4.99,< $5,Paid,No,Yes,No,Unsupported,47500,1085,117,90.3,17.7,64,96032,Not hit
108991,Hidden Racer Remastered,2021-04-09,RPG,Indie,9.99,$5-10,Paid,No,No,No,Playable,300,3,2,66.8,63.0,1,1117,Not hit
133781,Rogue Village,2025-04-24,RPG,AA,39.99,$20-40,Paid,No,Yes,No,Verified,167600,4945,460,91.5,81.8,1094,2867435,Hit
112950,Star Odyssey,2023-10-28,Puzzle,Indie,24.99,$20-40,Paid,No,No,No,Playable,106100,2904,1193,70.9,2.2,195,1116278,Not hit
170818,Mystic Ocean: Origins,2022-11-17,Casual,AAA,59.99,$40+,Paid,No,No,Yes,Verified,55200,1187,594,66.7,4.4,147,1354828,Not hit
186950,Hidden Arena II,2021-11-20,Action,Indie,4.99,< $5,Paid,No,No,No,Verified,3300,93,23,80.5,18.7,3,5354,Not hit
167414,Cyber Empire II,2025-11-30,Casual,AA,29.99,$20-40,Paid,No,No,No,Playable,83200,1070,706,60.3,7.0,152,817805,Not hit
105069,Dark Colony,2025-04-02,Casual,Indie,4.99,< $5,Paid,No,Yes,No,Playable,15900,448,172,72.3,4.4,89,33912,Not hit
120942,Wild Hunter: Origins,2025-08-08,Casual,Indie,4.99,< $5,Paid,No,No,No,Playable,200,2,2,55.6,6.4,0,367,Not hit
151356,Broken Protocol Deluxe: Origins,2023-03-24,Action,Indie,9.99,$5-10,Paid,Yes,Yes,No,Verified,2900,54,24,70.1,6.0,15,11681,Not hit
146139,Neon Protocol: Origins,2019-04-12,Adventure,Indie,0.0,Free,Free,No,No,No,Verified,4700,85,88,49.3,13.9,2,6747,Not hit
102479,Void Odyssey Deluxe,2025-08-05,Simulation,Indie,14.99,$10-20,Paid,No,No,No,Playable,1300,28,7,82.8,56.5,2,8396,Not hit
178588,Frozen Dungeon 2 Deluxe,2022-02-26,Casual,AA,24.99,$20-40,Paid,No,No,No,Playable,74900,849,504,62.8,3.7,248,758475,Not hit
159755,Dark Arena II,2018-12-28,Horror,AA,24.99,$20-40,Paid,No,Yes,No,Playable,66600,977,239,80.4,6.4,501,646704,Not hit
118352,Cyber Tactics,2020-12-11,RPG,Indie,9.99,$5-10,Paid,Yes,No,Yes,Unsupported,43300,1209,284,81.0,29.2,100,146756,Not hit
136704,Pixel Empire Remastered Remastered,2022-10-30,Adventure,AA,0.0,Free,Free,No,No,No,Unsupported,258800,2980,2277,56.7,6.7,380,253695,Not hit
130895,Star Hunter,2024-05-23,Puzzle,Indie,4.99,< $5,Paid,No,No,No,Unsupported,900,16,4,81.8,4.5,1,1994,Not hit
152947,Mystic Survivors 2,2023-09-25,Simulation,Indie,9.99,$5-10,Paid,Yes,Yes,No,Unsupported,31800,786,364,68.4,38.3,194,130298,Not hit
118685,Silent Ocean,2019-08-01,Casual,Indie,19.99,$10-20,Paid,No,Yes,No,Verified,4200,85,38,69.9,20.3,12,28042,Not hit
163270,Dark Protocol: Origins,2018-04-26,Sports,AAA,49.99,$40+,Paid,No,No,Yes,Playable,1350700,24913,8350,74.9,32.2,3827,23942168,Not hit
165675,Mystic Village II Remastered,2025-03-04,Adventure,AA,29.99,$20-40,Paid,No,Yes,No,Verified,89900,2294,1225,65.2,3.7,548,1087606,Not hit
100370,Dragon Protocol,2019-05-16,Survival,Indie,4.99,< $5,Paid,No,Yes,No,Playable,50400,1006,649,60.8,107.8,214,80802,Not hit
124790,Crystal Frontier Remastered Deluxe,2018-02-23,Survival,Indie,19.99,$10-20,Paid,No,Yes,No,Verified,72500,1449,785,64.9,64.9,116,612104,Not hit
182362,Mystic Empire: Origins,2020-07-04,Action,Indie,9.99,$5-10,Paid,Yes,No,No,Unsupported,1100,23,14,64.1,5.2,3,4276,Not hit
108954,Hidden Ocean,2021-05-18,Puzzle,AAA,59.99,$40+,Paid,No,No,No,Unsupported,193600,6683,743,90.0,7.4,208,4500752,Hit
171003,Silent Frontier 2 2,2025-07-04,Action,Indie,14.99,$10-20,Paid,No,No,No,Unsupported,300,7,3,70.8,13.3,0,1665,Not hit
192019,Mystic Survivors Remastered Remastered,2018-11-28,Action,Indie,14.99,$10-20,Paid,No,No,No,Unsupported,10800,194,34,85.1,15.2,40,69426,Not hit
142032,Mystic Survivors II,2021-09-06,Casual,Indie,14.99,$10-20,Paid,No,No,No,Playable,6200,140,87,61.8,2.7,6,41421,Not hit
108584,Iron Odyssey II,2023-05-20,Action,Indie,4.99,< $5,Paid,No,Yes,No,Unsupported,400,6,5,61.6,11.2,3,807,Not hit
153058,Frozen Hunter II,2019-02-12,Action,Indie,0.99,< $5,Paid,No,No,No,Verified,108000,1384,334,80.6,7.1,247,47358,Hit
101628,Silent Protocol Deluxe,2019-09-25,RPG,AAA,69.99,$40+,Paid,No,Yes,No,Playable,617700,9502,5254,64.4,40.3,2616,13867743,Not hit
147286,Solar Frontier,2025-02-18,Roguelike,Indie,9.99,$5-10,Paid,No,No,No,Playable,1200,16,12,58.1,17.4,1,4964,Not hit
180734,Star Odyssey: Origins II,2024-02-06,Roguelike,Indie,9.99,$5-10,Paid,No,Yes,No,Verified,536400,12185,876,93.3,239.7,3487,2017335,Hit
121201,Broken Tower II,2023-05-24,Horror,Indie,4.99,< $5,Paid,No,No,No,Playable,3400,89,26,77.6,8.9,5,7540,Not hit
108473,Crystal Tactics,2018-02-03,Simulation,Indie,24.99,$20-40,Paid,No,No,No,Verified,8000,149,31,83.3,64.6,5,74911,Not hit
161050,Star Racer Remastered,2023-09-19,Simulation,Indie,9.99,$5-10,Paid,No,No,No,Playable,7400,104,48,68.5,18.3,22,27907,Not hit
130229,Steel Legends 2,2022-09-09,Action,AA,39.99,$20-40,Paid,No,No,Yes,Verified,121200,2606,837,75.7,12.3,144,1826133,Not hit
165305,Hidden Empire: Origins: Origins,2025-09-11,Roguelike,AAA,49.99,$40+,Paid,No,No,Yes,Verified,4612300,89703,16329,84.6,15.1,5472,75217186,Hit
141070,Golden League 2,2024-06-21,Casual,AA,29.99,$20-40,Paid,No,No,No,Playable,18700,298,122,71.1,8.0,42,237644,Not hit
178921,Steel Factory,2019-09-27,Casual,Indie,4.99,< $5,Paid,No,No,No,Unsupported,2000,48,22,69.9,2.6,7,3691,Not hit
167747,Solar Odyssey: Origins 2,2023-12-14,Survival,Indie,9.99,$5-10,Paid,Yes,Yes,No,Verified,22000,325,133,71.0,45.7,161,71977,Not hit
112025,Crystal Racer,2022-09-11,Casual,AA,19.99,$10-20,Paid,No,No,No,Unsupported,6200,92,28,76.8,7.3,6,43605,Not hit
119721,Broken Hunter: Origins,2020-01-12,Action,Indie,24.99,$20-40,Paid,No,No,No,Verified,2400,59,18,77.6,3.5,9,25844,Not hit
139849,Silent Kingdom Deluxe,2023-03-30,Simulation,Indie,2.99,< $5,Paid,Yes,No,No,Unsupported,5400,62,48,56.9,21.8,16,5776,Not hit
139109,Broken Chronicles 2,2022-07-18,Horror,AAA,59.99,$40+,Paid,No,No,Yes,Verified,67800,1352,685,66.4,5.2,208,1551426,Not hit
103441,Tiny Chronicles,2020-06-21,RPG,Indie,0.0,Free,Free,Yes,Yes,No,Playable,45200,708,377,65.3,57.4,70,32051,Not hit
150135,Neon Dungeon: Origins,2020-03-22,Action,Indie,9.99,$5-10,Paid,No,Yes,No,Verified,18100,379,58,86.9,6.6,71,64761,Not hit
148026,Golden Village 2 Remastered,2025-09-21,Simulation,Indie,0.99,< $5,Paid,Yes,No,No,Verified,800,9,7,62.2,27.2,0,356,Not hit
115651,Eternal Survivors: Origins,2023-08-10,Puzzle,Indie,2.99,< $5,Paid,No,No,No,Playable,1200,30,5,86.5,6.8,3,1610,Not hit
154353,Golden Tower II Remastered,2023-03-11,Racing,Indie,0.0,Free,Free,No,Yes,No,Verified,742600,12163,5804,67.7,28.7,5609,1233924,Not hit
