order_id,order_date,region,province,channel,category,product,quantity,unit_price,discount,revenue,cost,profit,customer_type,payment_method,rating
ORD01043,2024-11-27,ภาคอีสาน,ขอนแก่น,Shopee,คอมพิวเตอร์,คีย์บอร์ดแมคคานิคอล,1,2490,0,2490.0,1576.84,913.16,ลูกค้าประจำ,โอนผ่านแอป,4
ORD01243,2025-11-10,ภาคเหนือ,เชียงราย,หน้าร้าน,ความงาม,เซรั่มบำรุงผิว,1,790,0.05,840.56,525.29,315.27,ลูกค้าประจำ,โอนผ่านแอป,5
ORD01744,2025-07-25,ภาคกลาง,นนทบุรี,หน้าร้าน,อิเล็กทรอนิกส์,สมาร์ทวอทช์,2,3490,0.05,7426.72,4950.42,2476.3,ลูกค้าประจำ,เงินสด,5
ORD00747,2024-12-17,ภาคอีสาน,ขอนแก่น,หน้าร้าน,อิเล็กทรอนิกส์,สมาร์ทวอทช์,3,3490,0,10470.0,6913.53,3556.47,ลูกค้าใหม่,เก็บเงินปลายทาง,5
ORD02916,2025-04-08,ภาคกลาง,ปทุมธานี,Lazada,แฟชั่น,กระเป๋าเป้,3,990,0.15,2827.44,1966.19,861.25,ลูกค้าใหม่,บัตรเครดิต,3
ORD01829,2025-03-28,ภาคกลาง,ปทุมธานี,LINE Shopping,เครื่องใช้ในบ้าน,หม้อทอดไร้น้ำมัน,2,2590,0.15,4931.36,3019.37,1911.99,ลูกค้าใหม่,เก็บเงินปลายทาง,3
ORD02512,2025-11-04,ภาคตะวันออก,ชลบุรี,Shopee,แฟชั่น,กระเป๋าเป้,1,990,0.1,997.92,615.01,382.91,ลูกค้าใหม่,เงินสด,1
ORD00942,2024-03-02,ภาคเหนือ,เชียงราย,LINE Shopping,อิเล็กทรอนิกส์,ลำโพงบลูทูธ,5,1590,0,7950.0,5628.82,2321.18,ลูกค้าใหม่,บัตรเครดิต,4
ORD02677,2025-10-14,ภาคตะวันออก,จันทบุรี,Lazada,คอมพิวเตอร์,SSD 1TB,1,2190,0,2452.8,1595.21,857.59,ลูกค้าประจำ,บัตรเครดิต,5
ORD00922,2024-09-20,ภาคกลาง,นครปฐม,หน้าร้าน,คอมพิวเตอร์,"จอมอนิเตอร์ 24""",1,4290,0,4290.0,2978.24,1311.76,ลูกค้าประจำ,โอนผ่านแอป,5
