employee_id,department,position,gender,age,education,years_at_company,monthly_salary,performance_score,job_satisfaction,overtime,training_hours,work_mode,attrition
EMP0111,บัญชี,เจ้าหน้าที่บัญชี,ชาย,43,ปริญญาตรี,9,29300,3.7,1,มี,28,WFH,อยู่ต่อ
EMP0239,ปฏิบัติการ,พนักงานคลังสินค้า,หญิง,27,ปริญญาตรี,1,17500,3.3,4,มี,58,ออฟฟิศ,ลาออก
EMP0597,ปฏิบัติการ,ผู้จัดการโรงงาน,ชาย,33,ปริญญาตรี,9,57000,2.7,3,ไม่มี,32,Hybrid,อยู่ต่อ
EMP0103,ขาย,พนักงานขาย,หญิง,38,ปริญญาตรี,7,23600,3.4,5,ไม่มี,59,WFH,อยู่ต่อ
EMP0675,การตลาด,Marketing Executive,ชาย,32,ปริญญาตรี,5,23900,2.2,3,ไม่มี,51,Hybrid,อยู่ต่อ
EMP0272,ขาย,พนักงานขาย,หญิง,35,ปริญญาโท,4,22500,2.6,2,มี,1,Hybrid,อยู่ต่อ
EMP0102,ขาย,หัวหน้าทีมขาย,ชาย,33,ปริญญาตรี,6,38500,4.5,3,ไม่มี,36,Hybrid,ลาออก
EMP0618,ปฏิบัติการ,ผู้จัดการโรงงาน,หญิง,47,ปวส.,13,59400,3.4,3,ไม่มี,38,Hybrid,อยู่ต่อ
EMP0427,ปฏิบัติการ,พนักงานคลังสินค้า,ชาย,33,ปริญญาตรี,4,19200,3.7,4,ไม่มี,38,ออฟฟิศ,อยู่ต่อ
EMP0477,IT,Developer,หญิง,40,ปวส.,7,37400,4.1,4,ไม่มี,39,ออฟฟิศ,อยู่ต่อ
EMP0230,บัญชี,เจ้าหน้าที่บัญชี,ชาย,38,ปวส.,7,26300,4.7,5,ไม่มี,41,ออฟฟิศ,อยู่ต่อ
EMP0284,ปฏิบัติการ,พนักงานคลังสินค้า,ชาย,26,,1,17900,2.6,1,มี,2,Hybrid,อยู่ต่อ
EMP0768,ปฏิบัติการ,พนักงานคลังสินค้า,ชาย,25,ปวส.,0,14800,4.4,3,มี,9,ออฟฟิศ,อยู่ต่อ
EMP0244,ปฏิบัติการ,พนักงานคลังสินค้า,ชาย,32,ปริญญาตรี,0,15200,2.2,1,ไม่มี,43,ออฟฟิศ,อยู่ต่อ
EMP0641,ขาย,พนักงานขาย,ชาย,33,ปริญญาตรี,4,20200,3.4,2,มี,55,Hybrid,ลาออก
EMP0566,การตลาด,Marketing Executive,หญิง,38,ปริญญาตรี,7,27700,3.6,2,ไม่มี,23,ออฟฟิศ,อยู่ต่อ
EMP0063,IT,Data Analyst,หญิง,33,ปริญญาตรี,9,70000,3.7,3,ไม่มี,50,Hybrid,อยู่ต่อ
EMP0237,IT,Data Analyst,หญิง,43,ปริญญาตรี,10,82700,2.6,2,ไม่มี,54,Hybrid,อยู่ต่อ
EMP0599,IT,Developer,หญิง,32,ปริญญาตรี,2,31500,4.1,3,ไม่มี,8,ออฟฟิศ,ลาออก
EMP0353,การตลาด,Marketing Executive,ชาย,28,ปริญญาตรี,4,24600,2.6,4,ไม่มี,3,ออฟฟิศ,อยู่ต่อ
EMP0014,การตลาด,Content Creator,หญิง,39,ปริญญาโท,11,64400,4.5,1,ไม่มี,18,Hybrid,อยู่ต่อ
EMP0232,ขาย,พนักงานขาย,ชาย,31,ปวส.,4,22300,3.4,5,มี,43,WFH,อยู่ต่อ
EMP0652,ขาย,พนักงานขาย,หญิง,31,ปวส.,3,23100,3.6,3,ไม่มี,4,Hybrid,อยู่ต่อ
EMP0556,ปฏิบัติการ,พนักงานคลังสินค้า,หญิง,43,ปริญญาตรี,9,18800,3.6,4,มี,38,ออฟฟิศ,อยู่ต่อ
EMP0719,บัญชี,นักวิเคราะห์การเงิน,ชาย,28,ปริญญาตรี,0,41800,3.3,1,ไม่มี,9,ออฟฟิศ,อยู่ต่อ
EMP0016,ปฏิบัติการ,หัวหน้างาน,ชาย,39,ปริญญาตรี,8,37200,3.0,5,ไม่มี,14,Hybrid,อยู่ต่อ
