primary_genre,games,median_owners,median_revenue,avg_review,hit_rate,market_share_%
Roguelike,118,16000.0,59419.5,77.22203389830509,0.1271186440677966,4.72
Strategy,201,14500.0,40701.0,76.24726368159205,0.11940298507462686,8.04
Survival,118,36450.0,82309.0,75.6957627118644,0.11016949152542373,4.72
Racing,75,13900.0,26097.0,72.53466666666667,0.10666666666666667,3.0
RPG,250,18250.0,49910.5,75.004,0.104,10.0
Adventure,341,16800.0,50701.0,75.6809384164223,0.10263929618768329,13.639999999999999
Simulation,275,15300.0,52589.0,72.84763636363635,0.09454545454545454,11.0
Action,478,18400.0,60949.5,74.07677824267782,0.09414225941422594,19.12
Sports,52,21550.0,56937.0,66.79038461538461,0.07692307692307693,2.08
Horror,123,12400.0,42924.0,72.06016260162602,0.056910569105691054,4.92
Casual,293,8100.0,27966.0,70.23139931740614,0.04436860068259386,11.72
Puzzle,176,9200.0,18832.5,76.76079545454546,0.03977272727272727,7.04
